breed,Images,url,Adaptability,ToleranceAlone,Friendliness,Health,Intelligence,ExerciseNeeds,TemperatureTolerance,ApartmentSuitability,Size,breed_group,AgeAverage
Leonberger,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1222400991-e1694096032487.jpg?w=1024,https://dogtime.com/dog-breeds/leonberger,2,2,4,1,3,4,3,1,5,Working Dogs,11
Lhasa Apso,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1483197154-e1693252246421.jpg?w=1024,https://dogtime.com/dog-breeds/lhasa-apso,4,4,3,3,4,4,2.5,2,1,Companion Dogs,13.5
Lhasapoo,https://dogtime.com/wp-content/uploads/sites/12/2020/02/lhasapoo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/lhasapoo,3,2,3,4,5,4,3,2,3,Mixed Breed Dogs,12.5
Lowchen,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-899407726-e1700520507319.jpg,https://dogtime.com/dog-breeds/lowchen,3,1,5,5,4,4,3,2,1,Companion Dogs,14
Maltese,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1160956147-e1694625569541.jpg,https://dogtime.com/dog-breeds/maltese,3,1,4,3,4,3,2,3,1,Companion Dogs,13.5
Maltese Shih Tzu,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-184919092-e1698683026132.jpg?w=1024,https://dogtime.com/dog-breeds/maltese-shih-tzu,3,3,3,2,3,3,2,2,1,Hybrid Dogs,13
Maltipoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1455758529-e1688370717758.jpg?w=1024,https://dogtime.com/dog-breeds/maltipoo,4,1,4,2,4,3,2.5,2,2,Hybrid Dogs,11.5
Manchester Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-130848030-e1694618735168.jpg?w=1024,https://dogtime.com/dog-breeds/manchester-terrier,3,3,3,2,4,4,2,2,2,Terrier Dogs,15
Mastador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/mastador-mixed-dog-breed-picture-cover.jpg,https://dogtime.com/dog-breeds/mastador,3,3,4,4,4,4,3,1,4,Mixed Breed Dogs,11
Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1489183592-e1700234254918.jpg?w=1024,https://dogtime.com/dog-breeds/mastiff,2,3,4,3,2,4,2.5,1,5,Working Dogs,8
Miniature Pinscher,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-661905012-e1691245589685.jpg,https://dogtime.com/dog-breeds/miniature-pinscher,3,2,3,3,3,4,2,3,1,Companion Dogs,12
Miniature Schnauzer,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-512630175-e1692383207927.jpg,https://dogtime.com/dog-breeds/miniature-schnauzer,4,5,4,3,4,4,4,2,2,Terrier Dogs,13
Morkie,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1468426253-e1706024827584.jpg?w=1024,https://dogtime.com/dog-breeds/morkie,3,2,3,4,4,4,2.5,1,1,Mixed Breed Dogs,12
Mudi,https://dogtime.com/wp-content/uploads/sites/12/2018/04/GettyImages-1489267483-e1694449407987.jpg?w=1024,https://dogtime.com/dog-breeds/mudi,3,2,3,4,4,4,3,1,2,Herding Dogs,13
Mutt,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23228_mutt.jpg,https://dogtime.com/dog-breeds/mutt,3,3,3,4,4,3,3,1,3,Mixed Breed Dogs,11.5
Neapolitan Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-158773964-e1694440082632.jpg?w=1024,https://dogtime.com/dog-breeds/neapolitan-mastiff,2,1,3,2,3,3,1.5,1,5,Working Dogs,9
Newfoundland,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-971166282-e1693688303846.jpg?w=1024,https://dogtime.com/dog-breeds/newfoundland,3,1,5,1,4,3,3.5,1,5,Working Dogs,9
Norfolk Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177762710-e1695912786803.jpg,https://dogtime.com/dog-breeds/norfolk-terrier,4,3,5,5,4,4,4,2,1,Terrier Dogs,13.5
Norwegian Buhund,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1437317346-e1708448344400.jpg?w=1024,https://dogtime.com/dog-breeds/norwegian-buhund,3,4,4,4,3,5,3.5,1,3,Herding Dogs,13.5
Norwegian Elkhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-998836628-e1694711983854.jpg?w=1024,https://dogtime.com/dog-breeds/norwegian-elkhound,4,2,4,4,4,4,4,2,3,Hound Dogs,13.5
Norwegian Lundehund,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-187452016-e1692375524799.jpg,https://dogtime.com/dog-breeds/norwegian-lundehund,3,2,5,3,5,5,4,1,3,Working Dogs,11
Norwich Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-187066830-e1693694782266.jpg?w=1024,https://dogtime.com/dog-breeds/norwich-terrier,4,2,5,4,4,5,4,2,1,Terrier Dogs,12
Nova Scotia Duck Tolling Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1280594384-1-e1692383020758.jpg?w=1024,https://dogtime.com/dog-breeds/nova-scotia-duck-tolling-retriever,4,2,5,4,5,5,4,2,3,Sporting Dogs,12
Old English Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/12/GettyImages-93392743-e1702002148104.jpg?w=1024,https://dogtime.com/dog-breeds/old-english-sheepdog,4,2,4,4,4,4,3,3,4,Herding Dogs,11
Otterhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23034_otterhound.jpg,https://dogtime.com/dog-breeds/otterhound,3,5,5,4,4,5,3.5,1,4,Hound Dogs,11
Papillon,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-919583490-e1692807780270.jpg?w=1024,https://dogtime.com/dog-breeds/papillon,3,1,4,3,4,4,3,3,1,Companion Dogs,14
Papipoo,https://dogtime.com/wp-content/uploads/sites/12/2020/01/papipoo-mixed-dog-breed-pictures-cover-1.jpg,https://dogtime.com/dog-breeds/papipoo,4,1,4,3,5,5,3,3,1,Mixed Breed Dogs,12
Peekapoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_23222_peekapoo.jpg,https://dogtime.com/dog-breeds/peekapoo,4,2,4,3,4,3,2.5,2,1,Hybrid Dogs,12.5
Pekingese,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-592689430-e1701106534817.jpg?w=1024,https://dogtime.com/dog-breeds/pekingese,3,3,3,2,4,2,2.5,2,1,Companion Dogs,13.5
Pembroke Welsh Corgi,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1193591781-e1689606163833.jpg?w=1024,https://dogtime.com/dog-breeds/pembroke-welsh-corgi,4,3,4,3,5,4,3.5,3,2,Herding Dogs,13
Petit Basset Griffon Vendeen,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1326613987-e1710166248668.jpg?w=1024,https://dogtime.com/dog-breeds/petit-basset-griffon-vendeen,3,3,5,3,4,5,3.5,2,2,Hound Dogs,21
Pharaoh Hound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-87733113-e1694530361947.jpg?w=1024,https://dogtime.com/dog-breeds/pharaoh-hound,4,2,5,5,4,3,3,2,3,Hound Dogs,12.5
Pitsky,https://dogtime.com/wp-content/uploads/sites/12/2019/07/pitsky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/pitsky,2,1,5,4,3,5,3,1,3,Mixed Breed Dogs,14
Plott,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1249959818-1-e1705507108397.jpg?w=1024,https://dogtime.com/dog-breeds/plott,2,2,4,5,3,4,3,1,3,Hound Dogs,13
Pocket Beagle,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-106558201-e1704373936986.jpg?w=1024,https://dogtime.com/dog-breeds/pocket-beagle,3,2,5,3,4,4,3,2,2,Hound Dogs,15
Pointer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-130406055-e1693514779447.jpg?w=1024,https://dogtime.com/dog-breeds/pointer,2,1,5,3,5,5,3,1,3,Sporting Dogs,13.5
Polish Lowland Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1179752527-e1695392708571.jpg,https://dogtime.com/dog-breeds/polish-lowland-sheepdog,4,3,4,4,4,4,4,3,3,Herding Dogs,11
Pomapoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1255276036-e1707598584889.jpg?w=1024,https://dogtime.com/dog-breeds/pomapoo,3,1,4,3,4,3,2.5,2,1,Mixed Breed Dogs,13.5
Pomchi,https://dogtime.com/wp-content/uploads/sites/12/2019/08/pomchi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/pomchi,3,3,3,5,4,4,3,2,1,Mixed Breed Dogs,15
Pomeagle,https://dogtime.com/wp-content/uploads/sites/12/2019/08/pomeagle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/pomeagle,3,1,4,3,2,4,2.5,2,1,Mixed Breed Dogs,13.5
Pomeranian,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-654892254-e1689593598708.jpg?w=1024,https://dogtime.com/dog-breeds/pomeranian,3,1,3,3,4,3,3,2,1,Companion Dogs,14
Pomsky,https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-1454876890-e1692571487351.jpg?w=1024,https://dogtime.com/dog-breeds/pomsky,3,1,3,3,4,3,4,2,2,Mixed Breed Dogs,13.5
Poochon,https://dogtime.com/wp-content/uploads/sites/12/2024/02/GettyImages-1816855440-e1709074098535.jpg?w=1024,https://dogtime.com/dog-breeds/poochon,4,1,5,3,4,4,3.5,3,2,Mixed Breed Dogs,13.5
Poodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-182816790-e1698160624173.jpg,https://dogtime.com/dog-breeds/poodle,4,1,5,2,5,4,3.5,3,4,Companion Dogs,13.5
Portuguese Podengo Pequeno,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-157767491-e1707428265826.jpg?w=1024,https://dogtime.com/dog-breeds/portuguese-podengo-pequeno,3,3,4,4,3,4,2.5,2,1,Hound Dogs,13.5
Portuguese Water Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1354073544-e1693697432472.jpg?w=1024,https://dogtime.com/dog-breeds/portuguese-water-dog,3,2,5,4,5,5,3.5,2,3,Working Dogs,12
Pug,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-sb10066858aa-001-e1693353192358.jpg,https://dogtime.com/dog-breeds/pug,3,1,4,1,2,4,1.5,3,2,Companion Dogs,13.5
Pugalier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-141824266-e1695067970518.jpg?w=1024,https://dogtime.com/dog-breeds/pugalier,4,2,5,3,3,4,2,2,2,Mixed Breed Dogs,13.5
Puggle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-173812656-e1692210730692.jpg?w=1024,https://dogtime.com/dog-breeds/puggle,4,3,5,4,3,3,3,2,2,Hybrid Dogs,12.5
Puli,"https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1132440533.jpg?resize=2048,1368",https://dogtime.com/dog-breeds/puli,3,2,4,5,4,5,3.5,2,3,Herding Dogs,12.5
Pyrenean Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-144327004-e1707071663361.jpg?w=1024,https://dogtime.com/dog-breeds/pyrenean-shepherd,3,1,4,2,4,5,3.5,2,2,Herding Dogs,16
Rat Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-501597845-e1692138856217.jpg?w=1024,https://dogtime.com/dog-breeds/rat-terrier,3,3,4,4,4,5,2.5,3,1,Terrier Dogs,15.5
Redbone Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-478044020-e1695634157315.jpg?w=1024,https://dogtime.com/dog-breeds/redbone-coonhound,3,2,4,3,4,5,2.5,2,3,Hound Dogs,11
Rhodesian Ridgeback,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-975716310-e1688262804516.jpg?w=1024,https://dogtime.com/dog-breeds/rhodesian-ridgeback,3,2,4,4,4,5,3,1,4,Hound Dogs,11
Rottador,https://dogtime.com/wp-content/uploads/sites/12/2019/11/rottador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/rottador,3,1,4,2,5,5,3.5,1,4,Mixed Breed Dogs,11
Rottle,https://dogtime.com/wp-content/uploads/sites/12/2019/12/rottle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/rottle,3,3,4,4,5,4,3,3,3,Mixed Breed Dogs,12
Rottweiler,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1198147566-e1701133343267.jpg?w=1024,https://dogtime.com/dog-breeds/rottweiler,2,1,4,2,5,4,2.5,1,3,Working Dogs,9.5
Saint Berdoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/08/Jungle-Curl-Collage-e1707072995312.png,https://dogtime.com/dog-breeds/saint-berdoodle,3,2,5,4,4,3,3.5,1,4,Mixed Breed Dogs,10
Saint Bernard,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-587079387-e1693516546155.jpg?w=1024,https://dogtime.com/dog-breeds/saint-bernard,3,1,5,2,4,3,3,1,5,Working Dogs,9
Saluki,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1395012589-e1693920667739.jpg?w=1024,https://dogtime.com/dog-breeds/saluki,2,1,4,4,4,4,2.5,1,4,Hound Dogs,13
Samoyed,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-997016774-e1694111248101.jpg?w=1024,https://dogtime.com/dog-breeds/samoyed,3,2,5,3,3,4,3,1,3,Working Dogs,13
Samusky,https://dogtime.com/wp-content/uploads/sites/12/2019/12/samusky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/samusky,3,2,4,3,5,4,4,1,4,Mixed Breed Dogs,13.5
Schipperke,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1227082883-e1697817166227.jpg?w=1024,https://dogtime.com/dog-breeds/schipperke,3,3,3,4,4,5,2.5,2,1,Companion Dogs,14
Schnoodle,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1177553118-e1691704553367.jpg?w=1024,https://dogtime.com/dog-breeds/schnoodle,3,2,4,3,5,4,3,1,4,Hybrid Dogs,12.5
Scottish Deerhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-705005211-e1694536944778.jpg?w=1024,https://dogtime.com/dog-breeds/scottish-deerhound,3,2,4,3,3,5,4,1,5,Hound Dogs,9.5
Scottish Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-122599859-e1696958039342.jpg?w=1024,https://dogtime.com/dog-breeds/scottish-terrier,3,3,4,4,4,4,3.5,2,2,Terrier Dogs,12
Sealyham Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1250645922-1-e1692385289996.jpg?w=1024,https://dogtime.com/dog-breeds/sealyham-terrier,4,2,4,5,4,4,3.5,3,2,Terrier Dogs,13
Sheepadoodle,https://dogtime.com/wp-content/uploads/sites/12/2020/01/sheepadoodle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/sheepadoodle,4,2,5,4,5,4,3.5,3,4,Mixed Breed Dogs,13.5
Shepsky,https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-992460814-e1705419500212.jpg?w=1024,https://dogtime.com/dog-breeds/shepsky,3,2,4,4,5,5,3.5,1,4,Mixed Breed Dogs,12
Shetland Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-518594332-e1692194561378.jpg?w=1024,https://dogtime.com/dog-breeds/shetland-sheepdog,3,2,5,4,5,4,3.5,1,1,Herding Dogs,13.5
Shiba Inu,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-653001154-e1691965000531.jpg?w=1024,https://dogtime.com/dog-breeds/shiba-inu,4,5,3,3,4,3,3.5,2,2,Companion Dogs,14
Shichon,https://dogtime.com/wp-content/uploads/sites/12/2020/01/shichon-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/shichon,3,1,5,4,4,4,2,3,2,Mixed Breed Dogs,15
Shih-Poo,https://dogtime.com/wp-content/uploads/sites/12/2023/12/GettyImages-1487826002-e1702396830635.jpg,https://dogtime.com/dog-breeds/shih-poo,3,2,4,3,4,3,2.5,3,1,Mixed Breed Dogs,19.5
Shih Tzu,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-178920540-e1689348859523.jpg?w=1024,https://dogtime.com/dog-breeds/shih-tzu,3,3,5,3,4,3,2,3,1,Companion Dogs,13
Shiranian,https://dogtime.com/wp-content/uploads/sites/12/2019/09/shiranian-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/shiranian,3,2,4,2,4,3,1.5,3,2,Mixed Breed Dogs,14
Shollie,https://dogtime.com/wp-content/uploads/sites/12/2019/11/shollie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/shollie,3,2,3,3,4,4,4,1,4,Mixed Breed Dogs,14
Shorkie,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-519672843-e1698161294142.jpg?w=1024,https://dogtime.com/dog-breeds/shorkie,3,1,3,2,3,4,2,2,1,Mixed Breed Dogs,13.5
Siberian Husky,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1454565264-e1701120522406.jpg?w=1024,https://dogtime.com/dog-breeds/siberian-husky,3,1,5,4,3,5,4,1,3,Working Dogs,13.5
Silken Windhound,https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-738776691-e1707006196197.jpg?w=1024,https://dogtime.com/dog-breeds/silken-windhound,4,2,4,4,4,4,4,3,3,Hound Dogs,17
Silky Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-494831928-1-e1697051827207.jpg?w=1024,https://dogtime.com/dog-breeds/silky-terrier,3,3,3,4,4,4,2.5,2,1,Companion Dogs,13.5
Skye Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-821285322-e1694008412391.jpg?w=1024,https://dogtime.com/dog-breeds/skye-terrier,4,2,4,5,4,4,4,2,2,Terrier Dogs,13
Sloughi,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-451049741-e1695997544502.jpg?w=1024,https://dogtime.com/dog-breeds/sloughi,3,3,4,3,4,4,2.5,3,4,Hound Dogs,14
Small Munsterlander Pointer,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1210390099-e1710119437177.jpg?w=1024,https://dogtime.com/dog-breeds/small-munsterlander-pointer,3,4,5,5,5,5,4,1,3,Sporting Dogs,13
Soft Coated Wheaten Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-129254124-e1694793485621.jpg?w=1024,https://dogtime.com/dog-breeds/soft-coated-wheaten-terrier,3,2,5,4,4,4,2.5,2,3,Terrier Dogs,13.5
Spanish Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-1347184243-e1695256198876.jpg?w=1024,https://dogtime.com/dog-breeds/spanish-mastiff,3,3,3,4,4,3,3.5,1,5,Working Dogs,11
Spinone Italiano,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-934870840-e1700525646592.jpg?w=1024,https://dogtime.com/dog-breeds/spinone-italiano,4,2,5,3,4,4,3.5,3,4,Sporting Dogs,12
Springador,https://dogtime.com/wp-content/uploads/sites/12/2019/11/springador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/springador,3,1,3,4,5,4,4,1,4,Mixed Breed Dogs,12
Stabyhoun,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177302476-e1708355460376.jpg?w=1024,https://dogtime.com/dog-breeds/stabyhoun,3,3,4,5,5,4,2,1,3,Sporting Dogs,13.5
Staffordshire Bull Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1418252093-e1695215819445.jpg?w=1024,https://dogtime.com/dog-breeds/staffordshire-bull-terrier,2,2,4,3,3,4,2,1,2,Terrier Dogs,13
Standard Schnauzer,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-186512978-e1698415021170.jpg?w=1024,https://dogtime.com/dog-breeds/standard-schnauzer,3,2,3,5,5,5,4,3,3,Working Dogs,14.5
Sussex Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_22994_sussex-spaniel.jpg,https://dogtime.com/dog-breeds/sussex-spaniel,4,1,5,4,5,2,5,2,2,Sporting Dogs,12.5
Swedish Vallhund,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1131346877-e1694391250949.jpg?w=1024,https://dogtime.com/dog-breeds/swedish-vallhund,3,3,4,4,5,5,3.5,1,3,Herding Dogs,13.5
Terripoo,https://dogtime.com/wp-content/uploads/sites/12/2020/01/terripoo-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/terripoo,3,1,4,3,5,4,3.5,2,1,Mixed Breed Dogs,12.5
Texas Heeler,https://dogtime.com/wp-content/uploads/sites/12/2023/09/animal_blur_blurred_background_canine_close_up_dog_domestic_eyes-1491887.jpg,https://dogtime.com/dog-breeds/texas-heeler,3,3,3,3,5,4,3.5,1,3,Mixed Breed Dogs,13.5
Tibetan Mastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1037524792-e1696604393664.jpg?w=1024,https://dogtime.com/dog-breeds/tibetan-mastiff,3,1,4,3,5,3,3.5,1,5,Working Dogs,12
Tibetan Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-823775834-e1695923749953.jpg,https://dogtime.com/dog-breeds/tibetan-spaniel,3,1,4,5,4,4,1.5,2,1,Companion Dogs,13.5
Tibetan Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-10069983-e1695050398838.jpg,https://dogtime.com/dog-breeds/tibetan-terrier,4,1,4,5,4,5,4,3,2,Companion Dogs,13.5
Toy Fox Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-533462277-1-e1698438000362.jpg?w=1024,https://dogtime.com/dog-breeds/toy-fox-terrier,3,1,4,5,4,5,2.5,2,1,Companion Dogs,13.5
Treeing Tennessee Brindle,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-6.29.33-PM.png,https://dogtime.com/dog-breeds/treeing-tennessee-brindle,2,2,4,4,4,4,3,1,3,Hound Dogs,11
Treeing Walker Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-167081841-e1691849949983.jpg?w=1024,https://dogtime.com/dog-breeds/treeing-walker-coonhound,3,2,4,4,4,4,3,1,4,Hound Dogs,12.5
Valley Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-1250734157-e1708871135182.jpg?w=1024,https://dogtime.com/dog-breeds/valley-bulldog,3,2,4,3,3,4,1,2,4,Mixed Breed Dogs,10
Vizsla,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1365421484-e1694275663873.jpg?w=1024,https://dogtime.com/dog-breeds/vizsla,3,1,5,4,4,5,2.5,1,3,Sporting Dogs,12
Weimaraner,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-91815079-e1694183576543.jpg?w=1024,https://dogtime.com/dog-breeds/weimaraner,3,1,4,3,5,5,3.5,1,4,Sporting Dogs,12
Welsh Springer Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1394081925-1-e1694782874593.jpg?w=1024,https://dogtime.com/dog-breeds/welsh-springer-spaniel,4,1,4,4,5,5,4,2,3,Sporting Dogs,12.5
Welsh Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-529370327-e1694035240255.jpg?w=1024,https://dogtime.com/dog-breeds/welsh-terrier,3,2,5,5,5,5,2,1,2,Terrier Dogs,12
West Highland White Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-467031087-e1693936139162.jpg?w=1024,https://dogtime.com/dog-breeds/west-highland-white-terrier,4,2,4,3,4,4,3.5,2,2,Terrier Dogs,14
Westiepoo,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-3.13.22-PM-e1704312902803.png,https://dogtime.com/dog-breeds/westiepoo,3,1,4,4,4,4,3,1,2,Mixed Breed Dogs,13.5
Whippet,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-150525400-e1692215312613.jpg?w=1024,https://dogtime.com/dog-breeds/whippet,3,2,5,4,4,4,2.5,3,3,Hound Dogs,13.5
Whoodle,https://dogtime.com/wp-content/uploads/sites/12/2024/03/GettyImages-1208659674-e1710355758196.jpg?w=1024,https://dogtime.com/dog-breeds/whoodle,3,1,4,4,4,4,3,3,3,Mixed Breed Dogs,13.5
Wirehaired Pointing Griffon,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-849548232-e1695914473398.jpg?w=1024,https://dogtime.com/dog-breeds/wirehaired-pointing-griffon,3,1,5,4,5,4,3.5,1,3,Sporting Dogs,12
Xoloitzcuintli,https://dogtime.com/wp-content/uploads/sites/12/2019/05/GettyImages-1536093794-e1693762449380.jpg?w=1024,https://dogtime.com/dog-breeds/xoloitzuintli,3,1,3,5,5,3,3,2,3,Companion Dogs,17
Yorkipoo,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1424309337-e1692548749462.jpg?w=1024,https://dogtime.com/dog-breeds/yorkipoo,4,3,4,3,4,4,2.5,2,1,Hybrid Dogs,12.5
Yorkshire Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1095667204-e1689790392229.jpg?w=1024,https://dogtime.com/dog-breeds/yorkshire-terrier,3,2,3,4,3,5,2,2,1,Companion Dogs,13.5
